x,y,u
2.130681818181818e-02,2.840909090909091e-01,0.000000000000000e+00
2.130681818181818e-02,3.068181818181818e-01,0.000000000000000e+00
2.130681818181818e-02,3.295454545454545e-01,0.000000000000000e+00
2.130681818181818e-02,3.522727272727273e-01,0.000000000000000e+00
2.130681818181818e-02,3.750000000000000e-01,0.000000000000000e+00
2.130681818181818e-02,3.977272727272727e-01,0.000000000000000e+00
2.130681818181818e-02,4.204545454545455e-01,0.000000000000000e+00
2.130681818181818e-02,4.431818181818182e-01,0.000000000000000e+00
2.130681818181818e-02,4.659090909090909e-01,0.000000000000000e+00
2.130681818181818e-02,4.886363636363636e-01,0.000000000000000e+00
2.130681818181818e-02,5.113636363636364e-01,0.000000000000000e+00
2.130681818181818e-02,5.340909090909091e-01,0.000000000000000e+00
2.130681818181818e-02,5.568181818181818e-01,0.000000000000000e+00
2.130681818181818e-02,5.795454545454546e-01,0.000000000000000e+00
2.130681818181818e-02,6.022727272727273e-01,0.000000000000000e+00
2.130681818181818e-02,6.250000000000000e-01,0.000000000000000e+00
2.130681818181818e-02,6.477272727272727e-01,0.000000000000000e+00
2.130681818181818e-02,6.704545454545454e-01,0.000000000000000e+00
2.130681818181818e-02,6.931818181818182e-01,0.000000000000000e+00
2.130681818181818e-02,7.159090909090909e-01,0.000000000000000e+00
2.130681818181818e-02,7.386363636363636e-01,0.000000000000000e+00
2.130681818181818e-02,7.613636363636364e-01,0.000000000000000e+00
2.130681818181818e-02,7.840909090909091e-01,0.000000000000000e+00
2.130681818181818e-02,8.068181818181818e-01,0.000000000000000e+00
2.130681818181818e-02,8.295454545454546e-01,0.000000000000000e+00
2.130681818181818e-02,8.522727272727273e-01,0.000000000000000e+00
2.130681818181818e-02,8.750000000000000e-01,0.000000000000000e+00
2.130681818181818e-02,8.977272727272727e-01,0.000000000000000e+00
2.130681818181818e-02,9.204545454545454e-01,0.000000000000000e+00
2.130681818181818e-02,9.431818181818182e-01,0.000000000000000e+00
2.130681818181818e-02,9.659090909090909e-01,0.000000000000000e+00
2.130681818181818e-02,9.886363636363636e-01,0.000000000000000e+00
3.551136363636364e-02,1.136363636363636e-02,0.000000000000000e+00
3.551136363636364e-02,3.409090909090909e-02,0.000000000000000e+00
3.551136363636364e-02,5.681818181818182e-02,0.000000000000000e+00
3.551136363636364e-02,7.954545454545454e-02,0.000000000000000e+00
3.551136363636364e-02,1.022727272727273e-01,0.000000000000000e+00
3.551136363636364e-02,1.250000000000000e-01,0.000000000000000e+00
3.551136363636364e-02,1.477272727272727e-01,0.000000000000000e+00
3.551136363636364e-02,1.704545454545454e-01,0.000000000000000e+00
3.551136363636364e-02,1.931818181818182e-01,0.000000000000000e+00
3.551136363636364e-02,2.159090909090909e-01,0.000000000000000e+00
3.551136363636364e-02,2.386363636363636e-01,0.000000000000000e+00
3.551136363636364e-02,2.613636363636364e-01,0.000000000000000e+00
3.551136363636364e-02,2.840909090909091e-01,0.000000000000000e+00
3.551136363636364e-02,3.068181818181818e-01,0.000000000000000e+00
3.551136363636364e-02,3.295454545454545e-01,0.000000000000000e+00
3.551136363636364e-02,3.522727272727273e-01,0.000000000000000e+00
3.551136363636364e-02,3.750000000000000e-01,0.000000000000000e+00
3.551136363636364e-02,3.977272727272727e-01,0.000000000000000e+00
3.551136363636364e-02,4.204545454545455e-01,0.000000000000000e+00
3.551136363636364e-02,4.431818181818182e-01,0.000000000000000e+00
3.551136363636364e-02,4.659090909090909e-01,0.000000000000000e+00
3.551136363636364e-02,4.886363636363636e-01,0.000000000000000e+00
3.551136363636364e-02,5.113636363636364e-01,0.000000000000000e+00
3.551136363636364e-02,5.340909090909091e-01,0.000000000000000e+00
3.551136363636364e-02,5.568181818181818e-01,0.000000000000000e+00
3.551136363636364e-02,5.795454545454546e-01,0.000000000000000e+00
3.551136363636364e-02,6.022727272727273e-01,0.000000000000000e+00
3.551136363636364e-02,6.250000000000000e-01,0.000000000000000e+00
3.551136363636364e-02,6.477272727272727e-01,0.000000000000000e+00
3.551136363636364e-02,6.704545454545454e-01,0.000000000000000e+00
3.551136363636364e-02,6.931818181818182e-01,0.000000000000000e+00
3.551136363636364e-02,7.159090909090909e-01,0.000000000000000e+00
3.551136363636364e-02,7.386363636363636e-01,0.000000000000000e+00
3.551136363636364e-02,7.613636363636364e-01,0.000000000000000e+00
3.551136363636364e-02,7.840909090909091e-01,0.000000000000000e+00
3.551136363636364e-02,8.068181818181818e-01,0.000000000000000e+00
3.551136363636364e-02,8.295454545454546e-01,0.000000000000000e+00
3.551136363636364e-02,8.522727272727273e-01,0.000000000000000e+00
3.551136363636364e-02,8.750000000000000e-01,0.000000000000000e+00
3.551136363636364e-02,8.977272727272727e-01,0.000000000000000e+00
3.551136363636364e-02,9.204545454545454e-01,0.000000000000000e+00
3.551136363636364e-02,9.431818181818182e-01,0.000000000000000e+00
3.551136363636364e-02,9.659090909090909e-01,0.000000000000000e+00
3.551136363636364e-02,9.886363636363636e-01,0.000000000000000e+00
4.971590909090909e-02,1.136363636363636e-02,0.000000000000000e+00
4.971590909090909e-02,3.409090909090909e-02,0.000000000000000e+00
4.971590909090909e-02,5.681818181818182e-02,0.000000000000000e+00
4.971590909090909e-02,7.954545454545454e-02,0.000000000000000e+00
4.971590909090909e-02,1.022727272727273e-01,0.000000000000000e+00
4.971590909090909e-02,1.250000000000000e-01,0.000000000000000e+00
4.971590909090909e-02,1.477272727272727e-01,0.000000000000000e+00
4.971590909090909e-02,1.704545454545454e-01,0.000000000000000e+00
4.971590909090909e-02,1.931818181818182e-01,0.000000000000000e+00
4.971590909090909e-02,2.159090909090909e-01,0.000000000000000e+00
4.971590909090909e-02,2.386363636363636e-01,0.000000000000000e+00
4.971590909090909e-02,2.613636363636364e-01,0.000000000000000e+00
4.971590909090909e-02,2.840909090909091e-01,0.000000000000000e+00
4.971590909090909e-02,3.068181818181818e-01,0.000000000000000e+00
4.971590909090909e-02,3.295454545454545e-01,0.000000000000000e+00
4.971590909090909e-02,3.522727272727273e-01,0.000000000000000e+00
4.971590909090909e-02,3.750000000000000e-01,0.000000000000000e+00
4.971590909090909e-02,3.977272727272727e-01,0.000000000000000e+00
4.971590909090909e-02,4.204545454545455e-01,0.000000000000000e+00
4.971590909090909e-02,4.431818181818182e-01,0.000000000000000e+00
4.971590909090909e-02,4.659090909090909e-01,0.000000000000000e+00
4.971590909090909e-02,4.886363636363636e-01,0.000000000000000e+00
4.971590909090909e-02,5.113636363636364e-01,0.000000000000000e+00
4.971590909090909e-02,5.340909090909091e-01,0.000000000000000e+00
4.971590909090909e-02,5.568181818181818e-01,0.000000000000000e+00
4.971590909090909e-02,5.795454545454546e-01,0.000000000000000e+00
4.971590909090909e-02,6.022727272727273e-01,0.000000000000000e+00
4.971590909090909e-02,6.250000000000000e-01,0.000000000000000e+00
4.971590909090909e-02,6.477272727272727e-01,0.000000000000000e+00
4.971590909090909e-02,6.704545454545454e-01,0.000000000000000e+00
4.971590909090909e-02,6.931818181818182e-01,0.000000000000000e+00
4.971590909090909e-02,7.159090909090909e-01,0.000000000000000e+00
4.971590909090909e-02,7.386363636363636e-01,0.000000000000000e+00
4.971590909090909e-02,7.613636363636364e-01,0.000000000000000e+00
4.971590909090909e-02,7.840909090909091e-01,0.000000000000000e+00
4.971590909090909e-02,8.068181818181818e-01,0.000000000000000e+00
4.971590909090909e-02,8.295454545454546e-01,0.000000000000000e+00
4.971590909090909e-02,8.522727272727273e-01,0.000000000000000e+00
4.971590909090909e-02,8.750000000000000e-01,0.000000000000000e+00
4.971590909090909e-02,8.977272727272727e-01,0.000000000000000e+00
4.971590909090909e-02,9.204545454545454e-01,0.000000000000000e+00
4.971590909090909e-02,9.431818181818182e-01,0.000000000000000e+00
4.971590909090909e-02,9.659090909090909e-01,0.000000000000000e+00
4.971590909090909e-02,9.886363636363636e-01,0.000000000000000e+00
6.392045454545454e-02,1.136363636363636e-02,0.000000000000000e+00
6.392045454545454e-02,3.409090909090909e-02,0.000000000000000e+00
6.392045454545454e-02,5.681818181818182e-02,0.000000000000000e+00
6.392045454545454e-02,7.954545454545454e-02,0.000000000000000e+00
6.392045454545454e-02,1.022727272727273e-01,0.000000000000000e+00
6.392045454545454e-02,1.250000000000000e-01,0.000000000000000e+00
6.392045454545454e-02,1.477272727272727e-01,0.000000000000000e+00
6.392045454545454e-02,1.704545454545454e-01,0.000000000000000e+00
6.392045454545454e-02,1.931818181818182e-01,0.000000000000000e+00
6.392045454545454e-02,2.159090909090909e-01,0.000000000000000e+00
6.392045454545454e-02,2.386363636363636e-01,0.000000000000000e+00
6.392045454545454e-02,2.613636363636364e-01,0.000000000000000e+00
6.392045454545454e-02,2.840909090909091e-01,0.000000000000000e+00
6.392045454545454e-02,3.068181818181818e-01,0.000000000000000e+00
6.392045454545454e-02,3.295454545454545e-01,0.000000000000000e+00
6.392045454545454e-02,3.522727272727273e-01,0.000000000000000e+00
6.392045454545454e-02,3.750000000000000e-01,0.000000000000000e+00
6.392045454545454e-02,3.977272727272727e-01,0.000000000000000e+00
6.392045454545454e-02,4.204545454545455e-01,0.000000000000000e+00
6.392045454545454e-02,4.431818181818182e-01,0.000000000000000e+00
6.392045454545454e-02,4.659090909090909e-01,0.000000000000000e+00
6.392045454545454e-02,4.886363636363636e-01,0.000000000000000e+00
6.392045454545454e-02,5.113636363636364e-01,0.000000000000000e+00
6.392045454545454e-02,5.340909090909091e-01,0.000000000000000e+00
6.392045454545454e-02,5.568181818181818e-01,0.000000000000000e+00
6.392045454545454e-02,5.795454545454546e-01,0.000000000000000e+00
6.392045454545454e-02,6.022727272727273e-01,0.000000000000000e+00
6.392045454545454e-02,6.250000000000000e-01,0.000000000000000e+00
6.392045454545454e-02,6.477272727272727e-01,0.000000000000000e+00
6.392045454545454e-02,6.704545454545454e-01,0.000000000000000e+00
6.392045454545454e-02,6.931818181818182e-01,0.000000000000000e+00
6.392045454545454e-02,7.159090909090909e-01,0.000000000000000e+00
6.392045454545454e-02,7.386363636363636e-01,0.000000000000000e+00
6.392045454545454e-02,7.613636363636364e-01,0.000000000000000e+00
6.392045454545454e-02,7.840909090909091e-01,0.000000000000000e+00
6.392045454545454e-02,8.068181818181818e-01,0.000000000000000e+00
6.392045454545454e-02,8.295454545454546e-01,0.000000000000000e+00
6.392045454545454e-02,8.522727272727273e-01,0.000000000000000e+00
6.392045454545454e-02,8.750000000000000e-01,0.000000000000000e+00
6.392045454545454e-02,8.977272727272727e-01,0.000000000000000e+00
6.392045454545454e-02,9.204545454545454e-01,0.000000000000000e+00
6.392045454545454e-02,9.431818181818182e-01,0.000000000000000e+00
6.392045454545454e-02,9.659090909090909e-01,0.000000000000000e+00
6.392045454545454e-02,9.886363636363636e-01,0.000000000000000e+00
7.812500000000000e-02,1.136363636363636e-02,0.000000000000000e+00
7.812500000000000e-02,3.409090909090909e-02,0.000000000000000e+00
7.812500000000000e-02,5.681818181818182e-02,0.000000000000000e+00
7.812500000000000e-02,7.954545454545454e-02,0.000000000000000e+00
7.812500000000000e-02,1.022727272727273e-01,0.000000000000000e+00
7.812500000000000e-02,1.250000000000000e-01,0.000000000000000e+00
7.812500000000000e-02,1.477272727272727e-01,0.000000000000000e+00
7.812500000000000e-02,1.704545454545454e-01,0.000000000000000e+00
7.812500000000000e-02,1.931818181818182e-01,0.000000000000000e+00
7.812500000000000e-02,2.159090909090909e-01,0.000000000000000e+00
7.812500000000000e-02,2.386363636363636e-01,0.000000000000000e+00
7.812500000000000e-02,2.613636363636364e-01,0.000000000000000e+00
7.812500000000000e-02,2.840909090909091e-01,0.000000000000000e+00
7.812500000000000e-02,3.068181818181818e-01,0.000000000000000e+00
7.812500000000000e-02,3.295454545454545e-01,0.000000000000000e+00
7.812500000000000e-02,3.522727272727273e-01,0.000000000000000e+00
7.812500000000000e-02,3.750000000000000e-01,0.000000000000000e+00
7.812500000000000e-02,3.977272727272727e-01,0.000000000000000e+00
7.812500000000000e-02,4.204545454545455e-01,0.000000000000000e+00
7.812500000000000e-02,4.431818181818182e-01,0.000000000000000e+00
7.812500000000000e-02,4.659090909090909e-01,0.000000000000000e+00
7.812500000000000e-02,4.886363636363636e-01,0.000000000000000e+00
7.812500000000000e-02,5.113636363636364e-01,0.000000000000000e+00
7.812500000000000e-02,5.340909090909091e-01,0.000000000000000e+00
7.812500000000000e-02,5.568181818181818e-01,0.000000000000000e+00
7.812500000000000e-02,5.795454545454546e-01,0.000000000000000e+00
7.812500000000000e-02,6.022727272727273e-01,0.000000000000000e+00
7.812500000000000e-02,6.250000000000000e-01,0.000000000000000e+00
7.812500000000000e-02,6.477272727272727e-01,0.000000000000000e+00
7.812500000000000e-02,6.704545454545454e-01,0.000000000000000e+00
7.812500000000000e-02,6.931818181818182e-01,0.000000000000000e+00
7.812500000000000e-02,7.159090909090909e-01,0.000000000000000e+00
7.812500000000000e-02,7.386363636363636e-01,0.000000000000000e+00
7.812500000000000e-02,7.613636363636364e-01,0.000000000000000e+00
7.812500000000000e-02,7.840909090909091e-01,0.000000000000000e+00
7.812500000000000e-02,8.068181818181818e-01,0.000000000000000e+00
7.812500000000000e-02,8.295454545454546e-01,0.000000000000000e+00
7.812500000000000e-02,8.522727272727273e-01,0.000000000000000e+00
7.812500000000000e-02,8.750000000000000e-01,0.000000000000000e+00
7.812500000000000e-02,8.977272727272727e-01,0.000000000000000e+00
7.812500000000000e-02,9.204545454545454e-01,0.000000000000000e+00
7.812500000000000e-02,9.431818181818182e-01,0.000000000000000e+00
7.812500000000000e-02,9.659090909090909e-01,0.000000000000000e+00
7.812500000000000e-02,9.886363636363636e-01,0.000000000000000e+00
9.232954545454546e-02,1.136363636363636e-02,0.000000000000000e+00
9.232954545454546e-02,3.409090909090909e-02,0.000000000000000e+00
9.232954545454546e-02,5.681818181818182e-02,0.000000000000000e+00
9.232954545454546e-02,7.954545454545454e-02,0.000000000000000e+00
9.232954545454546e-02,1.022727272727273e-01,0.000000000000000e+00
9.232954545454546e-02,1.250000000000000e-01,0.000000000000000e+00
9.232954545454546e-02,1.477272727272727e-01,0.000000000000000e+00
9.232954545454546e-02,1.704545454545454e-01,0.000000000000000e+00
9.232954545454546e-02,1.931818181818182e-01,0.000000000000000e+00
9.232954545454546e-02,2.159090909090909e-01,0.000000000000000e+00
9.232954545454546e-02,2.386363636363636e-01,0.000000000000000e+00
9.232954545454546e-02,2.613636363636364e-01,0.000000000000000e+00
9.232954545454546e-02,2.840909090909091e-01,0.000000000000000e+00
9.232954545454546e-02,3.068181818181818e-01,0.000000000000000e+00
9.232954545454546e-02,3.295454545454545e-01,0.000000000000000e+00
9.232954545454546e-02,3.522727272727273e-01,0.000000000000000e+00
9.232954545454546e-02,3.750000000000000e-01,0.000000000000000e+00
9.232954545454546e-02,3.977272727272727e-01,0.000000000000000e+00
9.232954545454546e-02,4.204545454545455e-01,0.000000000000000e+00
9.232954545454546e-02,4.431818181818182e-01,0.000000000000000e+00
9.232954545454546e-02,4.659090909090909e-01,0.000000000000000e+00
9.232954545454546e-02,4.886363636363636e-01,0.000000000000000e+00
9.232954545454546e-02,5.113636363636364e-01,0.000000000000000e+00
9.232954545454546e-02,5.340909090909091e-01,0.000000000000000e+00
9.232954545454546e-02,5.568181818181818e-01,0.000000000000000e+00
9.232954545454546e-02,5.795454545454546e-01,0.000000000000000e+00
9.232954545454546e-02,6.022727272727273e-01,0.000000000000000e+00
9.232954545454546e-02,6.250000000000000e-01,0.000000000000000e+00
9.232954545454546e-02,6.477272727272727e-01,0.000000000000000e+00
9.232954545454546e-02,6.704545454545454e-01,0.000000000000000e+00
9.232954545454546e-02,6.931818181818182e-01,0.000000000000000e+00
9.232954545454546e-02,7.159090909090909e-01,0.000000000000000e+00
9.232954545454546e-02,7.386363636363636e-01,0.000000000000000e+00
9.232954545454546e-02,7.613636363636364e-01,0.000000000000000e+00
9.232954545454546e-02,7.840909090909091e-01,0.000000000000000e+00
9.232954545454546e-02,8.068181818181818e-01,0.000000000000000e+00
9.232954545454546e-02,8.295454545454546e-01,0.000000000000000e+00
9.232954545454546e-02,8.522727272727273e-01,0.000000000000000e+00
9.232954545454546e-02,8.750000000000000e-01,0.000000000000000e+00
9.232954545454546e-02,8.977272727272727e-01,0.000000000000000e+00
9.232954545454546e-02,9.204545454545454e-01,0.000000000000000e+00
9.232954545454546e-02,9.431818181818182e-01,0.000000000000000e+00
9.232954545454546e-02,9.659090909090909e-01,0.000000000000000e+00
9.232954545454546e-02,9.886363636363636e-01,0.000000000000000e+00
1.065340909090909e-01,1.136363636363636e-02,0.000000000000000e+00
1.065340909090909e-01,3.409090909090909e-02,0.000000000000000e+00
1.065340909090909e-01,5.681818181818182e-02,0.000000000000000e+00
1.065340909090909e-01,7.954545454545454e-02,0.000000000000000e+00
1.065340909090909e-01,1.022727272727273e-01,0.000000000000000e+00
1.065340909090909e-01,1.250000000000000e-01,0.000000000000000e+00
1.065340909090909e-01,1.477272727272727e-01,0.000000000000000e+00
1.065340909090909e-01,1.704545454545454e-01,0.000000000000000e+00
1.065340909090909e-01,1.931818181818182e-01,0.000000000000000e+00
1.065340909090909e-01,2.159090909090909e-01,0.000000000000000e+00
1.065340909090909e-01,2.386363636363636e-01,0.000000000000000e+00
1.065340909090909e-01,2.613636363636364e-01,0.000000000000000e+00
1.065340909090909e-01,2.840909090909091e-01,0.000000000000000e+00
1.065340909090909e-01,3.068181818181818e-01,0.000000000000000e+00
1.065340909090909e-01,3.295454545454545e-01,0.000000000000000e+00
1.065340909090909e-01,3.522727272727273e-01,0.000000000000000e+00
1.065340909090909e-01,3.750000000000000e-01,0.000000000000000e+00
1.065340909090909e-01,3.977272727272727e-01,0.000000000000000e+00
1.065340909090909e-01,4.204545454545455e-01,0.000000000000000e+00
1.065340909090909e-01,4.431818181818182e-01,0.000000000000000e+00
1.065340909090909e-01,4.659090909090909e-01,0.000000000000000e+00
1.065340909090909e-01,4.886363636363636e-01,0.000000000000000e+00
1.065340909090909e-01,5.113636363636364e-01,0.000000000000000e+00
1.065340909090909e-01,5.340909090909091e-01,0.000000000000000e+00
1.065340909090909e-01,5.568181818181818e-01,0.000000000000000e+00
1.065340909090909e-01,5.795454545454546e-01,0.000000000000000e+00
1.065340909090909e-01,6.022727272727273e-01,0.000000000000000e+00
1.065340909090909e-01,6.250000000000000e-01,0.000000000000000e+00
1.065340909090909e-01,6.477272727272727e-01,0.000000000000000e+00
1.065340909090909e-01,6.704545454545454e-01,0.000000000000000e+00
1.065340909090909e-01,6.931818181818182e-01,0.000000000000000e+00
1.065340909090909e-01,7.159090909090909e-01,0.000000000000000e+00
1.065340909090909e-01,7.386363636363636e-01,0.000000000000000e+00
1.065340909090909e-01,7.613636363636364e-01,0.000000000000000e+00
1.065340909090909e-01,7.840909090909091e-01,0.000000000000000e+00
1.065340909090909e-01,8.068181818181818e-01,0.000000000000000e+00
1.065340909090909e-01,8.295454545454546e-01,0.000000000000000e+00
1.065340909090909e-01,8.522727272727273e-01,0.000000000000000e+00
1.065340909090909e-01,8.750000000000000e-01,0.000000000000000e+00
1.065340909090909e-01,8.977272727272727e-01,0.000000000000000e+00
1.065340909090909e-01,9.204545454545454e-01,0.000000000000000e+00
1.065340909090909e-01,9.431818181818182e-01,0.000000000000000e+00
1.065340909090909e-01,9.659090909090909e-01,0.000000000000000e+00
1.065340909090909e-01,9.886363636363636e-01,0.000000000000000e+00
1.207386363636364e-01,1.136363636363636e-02,0.000000000000000e+00
1.207386363636364e-01,3.409090909090909e-02,0.000000000000000e+00
1.207386363636364e-01,5.681818181818182e-02,0.000000000000000e+00
1.207386363636364e-01,7.954545454545454e-02,0.000000000000000e+00
1.207386363636364e-01,1.022727272727273e-01,0.000000000000000e+00
1.207386363636364e-01,1.250000000000000e-01,0.000000000000000e+00
1.207386363636364e-01,1.477272727272727e-01,0.000000000000000e+00
1.207386363636364e-01,1.704545454545454e-01,0.000000000000000e+00
1.207386363636364e-01,1.931818181818182e-01,0.000000000000000e+00
1.207386363636364e-01,2.159090909090909e-01,0.000000000000000e+00
1.207386363636364e-01,2.386363636363636e-01,0.000000000000000e+00
1.207386363636364e-01,2.613636363636364e-01,0.000000000000000e+00
1.207386363636364e-01,2.840909090909091e-01,0.000000000000000e+00
1.207386363636364e-01,3.068181818181818e-01,0.000000000000000e+00
1.207386363636364e-01,3.295454545454545e-01,0.000000000000000e+00
1.207386363636364e-01,3.522727272727273e-01,0.000000000000000e+00
1.207386363636364e-01,3.750000000000000e-01,0.000000000000000e+00
1.207386363636364e-01,3.977272727272727e-01,0.000000000000000e+00
1.207386363636364e-01,4.204545454545455e-01,0.000000000000000e+00
1.207386363636364e-01,4.431818181818182e-01,0.000000000000000e+00
1.207386363636364e-01,4.659090909090909e-01,0.000000000000000e+00
1.207386363636364e-01,4.886363636363636e-01,0.000000000000000e+00
1.207386363636364e-01,5.113636363636364e-01,0.000000000000000e+00
1.207386363636364e-01,5.340909090909091e-01,0.000000000000000e+00
1.207386363636364e-01,5.568181818181818e-01,0.000000000000000e+00
1.207386363636364e-01,5.795454545454546e-01,0.000000000000000e+00
1.207386363636364e-01,6.022727272727273e-01,0.000000000000000e+00
1.207386363636364e-01,6.250000000000000e-01,0.000000000000000e+00
1.207386363636364e-01,6.477272727272727e-01,0.000000000000000e+00
1.207386363636364e-01,6.704545454545454e-01,0.000000000000000e+00
1.207386363636364e-01,6.931818181818182e-01,0.000000000000000e+00
1.207386363636364e-01,7.159090909090909e-01,0.000000000000000e+00
1.207386363636364e-01,7.386363636363636e-01,0.000000000000000e+00
1.207386363636364e-01,7.613636363636364e-01,0.000000000000000e+00
1.207386363636364e-01,7.840909090909091e-01,0.000000000000000e+00
1.207386363636364e-01,8.068181818181818e-01,0.000000000000000e+00
1.207386363636364e-01,8.295454545454546e-01,0.000000000000000e+00
1.207386363636364e-01,8.522727272727273e-01,0.000000000000000e+00
1.207386363636364e-01,8.750000000000000e-01,0.000000000000000e+00
1.207386363636364e-01,8.977272727272727e-01,0.000000000000000e+00
1.207386363636364e-01,9.204545454545454e-01,0.000000000000000e+00
1.207386363636364e-01,9.431818181818182e-01,0.000000000000000e+00
1.207386363636364e-01,9.659090909090909e-01,0.000000000000000e+00
1.207386363636364e-01,9.886363636363636e-01,0.000000000000000e+00
1.349431818181818e-01,1.136363636363636e-02,0.000000000000000e+00
1.349431818181818e-01,3.409090909090909e-02,0.000000000000000e+00
1.349431818181818e-01,5.681818181818182e-02,0.000000000000000e+00
1.349431818181818e-01,7.954545454545454e-02,0.000000000000000e+00
1.349431818181818e-01,1.022727272727273e-01,0.000000000000000e+00
1.349431818181818e-01,1.250000000000000e-01,0.000000000000000e+00
1.349431818181818e-01,1.477272727272727e-01,0.000000000000000e+00
1.349431818181818e-01,1.704545454545454e-01,0.000000000000000e+00
1.349431818181818e-01,1.931818181818182e-01,0.000000000000000e+00
1.349431818181818e-01,2.159090909090909e-01,0.000000000000000e+00
1.349431818181818e-01,2.386363636363636e-01,0.000000000000000e+00
1.349431818181818e-01,2.613636363636364e-01,0.000000000000000e+00
1.349431818181818e-01,2.840909090909091e-01,0.000000000000000e+00
1.349431818181818e-01,3.068181818181818e-01,0.000000000000000e+00
1.349431818181818e-01,3.295454545454545e-01,0.000000000000000e+00
1.349431818181818e-01,3.522727272727273e-01,0.000000000000000e+00
1.349431818181818e-01,3.750000000000000e-01,0.000000000000000e+00
1.349431818181818e-01,3.977272727272727e-01,0.000000000000000e+00
1.349431818181818e-01,4.204545454545455e-01,0.000000000000000e+00
1.349431818181818e-01,4.431818181818182e-01,0.000000000000000e+00
1.349431818181818e-01,4.659090909090909e-01,0.000000000000000e+00
1.349431818181818e-01,4.886363636363636e-01,0.000000000000000e+00
1.349431818181818e-01,5.113636363636364e-01,0.000000000000000e+00
1.349431818181818e-01,5.340909090909091e-01,0.000000000000000e+00
1.349431818181818e-01,5.568181818181818e-01,0.000000000000000e+00
1.349431818181818e-01,5.795454545454546e-01,0.000000000000000e+00
1.349431818181818e-01,6.022727272727273e-01,0.000000000000000e+00
